left_ir,right_ir,pos,left_motor,right_motor
920,279,r,-24,24
875,300,r,-24,24
816,311,r,-24,24
750,302,r,-24,24
691,307,g,24,24
631,336,g,24,24
604,320,g,24,24
630,310,g,24,24
686,303,g,24,24
753,254,r,-24,24
832,275,r,-24,24
823,333,r,-24,24
736,320,r,-24,24
641,329,g,24,24
565,330,g,24,24
530,321,g,24,24
513,346,g,24,24
541,327,g,24,24
595,291,g,24,24
671,234,g,24,24
752,221,r,-24,24
825,243,r,-24,24
822,218,r,-24,24
765,198,r,-24,24
663,232,g,24,24
570,291,g,24,24
510,291,g,24,24
513,263,g,24,24
546,184,g,24,24
590,203,g,24,24
665,220,g,24,24
775,236,r,-24,24
858,263,r,-24,24
891,266,r,-24,24
900,270,r,-24,24
865,271,r,-24,24
782,315,r,-24,24
700,330,g,24,24
644,365,g,24,24
617,312,g,24,24
629,279,g,24,24
666,266,g,24,24
712,328,g,24,24
801,305,r,-24,24
898,259,r,-24,24
939,235,r,-24,24
952,264,r,-24,24
944,255,r,-24,24
913,240,r,-24,24
853,290,r,-24,24
765,320,r,-24,24
643,351,g,24,24
531,352,g,24,24
487,326,g,24,24
511,268,g,24,24
598,269,g,24,24
705,286,g,24,24
821,348,r,-24,24
925,321,r,-24,24
960,344,r,-24,24
970,325,r,-24,24
972,296,r,-24,24
968,325,r,-24,24
957,325,r,-24,24
928,298,r,-24,24
870,307,r,-24,24
785,294,r,-24,24
678,282,g,24,24
606,260,g,24,24
574,309,g,24,24
573,310,g,24,24
589,331,g,24,24
652,326,g,24,24
756,309,r,-24,24
863,296,r,-24,24
911,279,r,-24,24
908,286,r,-24,24
857,269,r,-24,24
779,282,r,-24,24
708,358,g,24,24
642,362,g,24,24
612,330,g,24,24
616,304,g,24,24
674,279,g,24,24
751,222,r,-24,24
852,206,r,-24,24
913,260,r,-24,24
924,305,r,-24,24
920,273,r,-24,24
900,272,r,-24,24
862,321,r,-24,24
809,325,r,-24,24
738,348,r,-24,24
664,359,g,24,24
609,362,g,24,24
595,315,g,24,24
620,253,g,24,24
667,207,g,24,24
752,193,r,-24,24
862,197,r,-24,24
921,202,r,-24,24
929,234,r,-24,24
915,317,r,-24,24
868,302,r,-24,24
817,274,r,-24,24
757,246,r,-24,24
706,261,g,24,24
662,280,g,24,24
646,307,g,24,24
666,315,g,24,24
736,285,r,-24,24
841,261,r,-24,24
891,286,r,-24,24
898,283,r,-24,24
869,287,r,-24,24
814,274,r,-24,24
745,283,r,-24,24
682,301,g,24,24
636,287,g,24,24
612,266,g,24,24
627,275,g,24,24
719,304,g,24,24
776,328,r,-24,24
864,229,r,-24,24
917,230,r,-24,24
927,223,r,-24,24
925,244,r,-24,24
909,227,r,-24,24
872,154,r,-24,24
820,154,r,-24,24
750,159,r,-24,24
665,176,g,24,24
592,243,g,24,24
578,235,g,24,24
603,244,g,24,24
669,247,g,24,24
739,216,r,-24,24
843,192,r,-24,24
909,235,r,-24,24
915,236,r,-24,24
896,237,r,-24,24
835,256,r,-24,24
767,242,r,-24,24
654,252,g,24,24
547,271,g,24,24
487,285,g,24,24
472,320,g,24,24
504,272,g,24,24
552,298,g,24,24
622,301,g,24,24
739,314,r,-24,24
