reading
615
614
613
613
613
612
611
610
608
607
607
606
608
611
609
594
5
616
615
616
616
616
614
614
614
614
615
614
613
613
613
612
611
610
608
607
607
606
608
611
609
594
5
616
615
616
616
616
614
614
614
614
615
614
613
613
613
612
611
610
608
607
607
606
608
611
609
594
587
590
593
591
608
611
607
608
618
614
611
617
618
607
608
608
624
609
601
603
601
600
599
598
594
567
533
505
482
507
548
555
554
551
518
509
507
492
484
486
490
490
489
491
493
492
493
489
487
485
486
485
481
484
485
488
490
489
489
489
486
486
483
483
478
477
475
468
459
461
459
460
459
457
454
453
452
452
453
452
452
448
454
471
471
482
477
481
462
489
387
412
441
448
392
405
