reading
94
994
994
994
994
994
994
994
994
994
4
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
994
990
989
990
991
992
993
994
994
995
994
995
994
995
995
995
995
995
995
994
990
987
988
995
995
995
995
995
996
995
996
996
996
995
996
996
996
995
996
996
995
995
995
996
996
996
996
996
996
996
991
986
975
970
977
982
983
983
982
982
982
983
983
983
983
983
983
980
976
972
968
963
960
956
952
947
940
934
933
929
920
911
909
908
903
896
893
897
896
901
906
919
970
988
996
996
997
996
996
996
996
996
996
996
997
997
997
996
997
997
996
997
996
997
997
997
996
997
996
996
997
996
997
997
997
997
997
997
996
996
996
997
997
997
997
997
997
996
997
997
996
997
